name,code,state_code
GUDU,101001,SOK
BINJI,101002,SOK
TANGAZA,101003,SOK
GWADABAWA,101004,SOK
ILLELA,101005,SOK
GADA,101006,SOK
SABON BIRNI,101007,SOK
ISA,101008,SOK
GORONYO,101009,SOK
WURNO,101010,SOK
RABAH,101011,SOK
KWARE,101012,SOK
SOKOTO SOUTH,101013,SOK
SOKOTO NORTH,101014,SOK
WAMAKKO,101015,SOK
SILAME,101016,SOK
YABO,101017,SOK
BODINGA,101018,SOK
DANGE SHUNI,101019,SOK
TURETA,101020,SOK
SHAGARI,101021,SOK
TAMBUWAL,101022,SOK
KEBBE,101023,SOK
GUMMI,102024,ZAM
BUKKUYUM,102025,ZAM
ANKA,102026,ZAM
BAKURA,102027,ZAM
TALATA MAFARA,102028,ZAM
MARADUN,102029,ZAM
SHINKAFI,102030,ZAM
ZURMI,102031,ZAM
BIRNIN MAGAJI,102032,ZAM
KAURA NAMODA,102033,ZAM
TSAFE,102034,ZAM
GUSAU,102035,ZAM
BUNGUDU,102036,ZAM
MARU,102037,ZAM
BAURE,103038,KAT
ZANGO,103039,KAT
SANDAMU,103040,KAT
DUTSI,103041,KAT
DAURA,103042,KAT
MAI'ADUA,103043,KAT
MASHI,103044,KAT
KAITA,103045,KAT
KATSINA,103046,KAT
JIBIA,103047,KAT
BATSARI,103048,KAT
BATAGARAWA,103049,KAT
RIMI,103050,KAT
MANI,103051,KAT
INGAWA,103052,KAT
KUSADA,103053,KAT
BINDAWA,103054,KAT
CHARANCHI,103055,KAT
KURFI,103056,KAT
SAFANA,103057,KAT
DUTSIN-MA,103058,KAT
KANKIA,103059,KAT
MATAZU,103060,KAT
DAN MUSA,103061,KAT
KANKARA,103062,KAT
MUSAWA,103063,KAT
MALUMFASHI,103064,KAT
KAFUR,103065,KAT
BAKORI,103066,KAT
FASKARI,103067,KAT
SABUWA,103068,KAT
DANDUME,103069,KAT
FUNTUA,103070,KAT
DANJA,103071,KAT
RONI,104072,JIG
GWIWA,104073,JIG
YANKWASHI,104074,JIG
KAZAURE,104075,JIG
BABURA,104076,JIG
GARKI,104077,JIG
SULE TANKARKAR,104078,JIG
GUMEL,104079,JIG
GAGARAWA,104080,JIG
MAIGATARI,104081,JIG
KAUGAMA,104082,JIG
MALAM MADORI,104083,JIG
BIRNIWA,104084,JIG
GURI,104085,JIG
KIRIKASAMMA,104086,JIG
HADEJIA,104087,JIG
AUYO,104088,JIG
KAFIN-HAUSA,104089,JIG
MIGA,104090,JIG
TAURA,104091,JIG
RINGIM,104092,JIG
JAHUN,104093,JIG
KIYAWA,104094,JIG
DUTSE,104095,JIG
BIRNIN KUDU,104096,JIG
BUJI,104097,JIG
GWARAM,104098,JIG
KUNCHI,110195,KAN
MAKODA,110196,KAN
DAMBATTA,110197,KAN
GABASAWA,110198,KAN
MINJIBIR,110199,KAN
DAWAKIN TOFA,110200,KAN
BICHI,110201,KAN
TSANYAWA,110202,KAN
SHANONO,110203,KAN
BAGWAI,110204,KAN
TOFA,110205,KAN
UNGOGO,110206,KAN
GWALE,110207,KAN
DALA,110208,KAN
FAGGE,110209,KAN
NASARAWA,110210,KAN
KANO MUNICIPAL,110211,KAN
TARAUNI,110212,KAN
KUMBOTSO,110213,KAN
GEZAWA,110214,KAN
WARAWA,110215,KAN
AJINGI,110216,KAN
GAYA,110217,KAN
WUDIL,110218,KAN
DAWAKIN KUDU,110219,KAN
MADOBI,110220,KAN
RIMIN GADO,110221,KAN
KABO,110222,KAN
GWARZO,110223,KAN
KARAYE,110224,KAN
ROGO,110225,KAN
KIRU,110226,KAN
BEBEJI,110227,KAN
GARUN MALAM,110228,KAN
KURA,110229,KAN
BUNKURE,110230,KAN
RANO,110231,KAN
KIBIYA,110232,KAN
GARKO,110233,KAN
ALBASU,110234,KAN
TAKAI,110235,KAN
SUMAILA,110236,KAN
TUDUN WADA,110237,KAN
DOGUWA,110238,KAN
BIRNIN GWARI,111239,KAD
GIWA,111240,KAD
SABON GARI,111241,KAD
KUDAN,111242,KAD
MAKARFI,111243,KAD
IKARA,111244,KAD
KUBAU,111245,KAD
SOBA,111246,KAD
ZARIA,111247,KAD
IGABI,111248,KAD
KADUNA NORTH,111249,KAD
KADUNA SOUTH,111250,KAD
CHIKUN,111251,KAD
KAJURU,111252,KAD
KAURU,111253,KAD
LERE,111254,KAD
ZANGON KATAF,111255,KAD
KACHIA,111256,KAD
KAGARKO,111257,KAD
JABA,111258,KAD
JEMAA,111259,KAD
KAURA,111260,KAD
SANGA,111261,KAD
AREWA-DANDI,112262,KEB
AUGIE,112263,KEB
ARGUNGU,112264,KEB
GWANDU,112265,KEB
BIRNIN KEBBI,112266,KEB
ALIERO,112267,KEB
JEGA,112268,KEB
MAIYAMA,112269,KEB
KALGO,112270,KEB
BUNZA,112271,KEB
SURU,112272,KEB
DANDI,112273,KEB
BAGUDO,112274,KEB
KOKO/BESSE,112275,KEB
YAURI,112276,KEB
NGASKI,112277,KEB
SHANGA,112278,KEB
FAKAI,112279,KEB
ZURU,112280,KEB
WASAGU/DANKO,112281,KEB
SAKABA,112282,KEB
MACHINA,205099,YOB
NGURU,205100,YOB
YUSUFARI,205101,YOB
YUNUSARI,205102,YOB
GEIDAM,205103,YOB
BURSARI,205104,YOB
KARASUWA,205105,YOB
BADE,205106,YOB
JAKUSKO,205107,YOB
FUNE,205108,YOB
TARMUWA,205109,YOB
DAMATURU,205110,YOB
GUJBA,205111,YOB
GULANI,205112,YOB
FIKA,205113,YOB
POTISKUM,205114,YOB
NANGERE,205115,YOB
MOBBAR,206116,BOR
ABADAM,206117,BOR
KUKAWA,206118,BOR
GUZAMALA,206119,BOR
GUBIO,206120,BOR
MAGUMERI,206121,BOR
KAGA,206122,BOR
KONDUGA,206123,BOR
MAIDUGURI,206124,BOR
JERE,206125,BOR
NGANZAI,206126,BOR
MONGUNO,206127,BOR
MARTE,206128,BOR
MAFA,206129,BOR
DIKWA,206130,BOR
NGALA,206131,BOR
KALA/BALGE,206132,BOR
BAMA,206133,BOR
GWOZA,206134,BOR
DAMBOA,206135,BOR
ASKIRA/UBA,206136,BOR
CHIBOK,206137,BOR
BIU,206138,BOR
KWAYA KUSAR,206139,BOR
BAYO,206140,BOR
SHANI,206141,BOR
HAWUL,206142,BOR
MADAGALI,207143,ADA
MICHIKA,207144,ADA
MUBI  NORTH,207145,ADA
MUBI SOUTH,207146,ADA
MAIHA,207147,ADA
HONG,207148,ADA
GOMBI,207149,ADA
SONG,207150,ADA
SHELLENG,207151,ADA
GUYUK,207152,ADA
LAMURDE,207153,ADA
NUMAN,207154,ADA
DEMSA,207155,ADA
YOLA NORTH,207156,ADA
YOLA SOUTH,207157,ADA
GIREI,207158,ADA
FUFORE,207159,ADA
MAYO-BELWA,207160,ADA
JADA,207161,ADA
GANYE,207162,ADA
TOUNGO,207163,ADA
DUKKU,208164,GOM
NAFADA,208165,GOM
FUNA KAYE,208166,GOM
KWAMI,208167,GOM
AKKO,208168,GOM
GOMBE,208169,GOM
YAMALTU-DEBA,208170,GOM
BALANGA,208171,GOM
KALTUNGO,208172,GOM
BILLIRI,208173,GOM
SHONGOM,208174,GOM
ZAKI,209175,BAU
GAMAWA,209176,BAU
ITAS/GADAU,209177,BAU
JAMA'ARE,209178,BAU
KATAGUM,209179,BAU
SHIRA,209180,BAU
GIADE,209181,BAU
MISAU,209182,BAU
DAMBAN,209183,BAU
DARAZO,209184,BAU
GANJUWA,209185,BAU
WARJI,209186,BAU
NINGI,209187,BAU
TORO,209188,BAU
BAUCHI,209189,BAU
KIRFI,209190,BAU
ALKALERI,209191,BAU
TAFAWA-BALEWA,209192,BAU
DASS,209193,BAU
BOGORO,209194,BAU
KARIM LAMIDO,217344,TAR
LAU,217345,TAR
ARDO-KOLA,217346,TAR
JALINGO,217347,TAR
YORRO,217348,TAR
ZING,217349,TAR
GASSOL,217350,TAR
IBI,217351,TAR
WUKARI,217352,TAR
BALI,217353,TAR
GASHAKA,217354,TAR
SARDAUNA,217355,TAR
KURMI,217356,TAR
USSA,217357,TAR
TAKUM,217358,TAR
DONGA,217359,TAR
AGWARA,313283,NIG
BORGU,313284,NIG
MASHEGU,313285,NIG
MAGAMA,313286,NIG
RIJAU,313287,NIG
KONTAGORA,313288,NIG
MARIGA,313289,NIG
RAFI,313290,NIG
SHIRORO,313291,NIG
MUNYA,313292,NIG
CHANCHAGA,313293,NIG
BOSSO,313294,NIG
WUSHISHI,313295,NIG
LAVUN,313296,NIG
MOKWA,313297,NIG
EDATTI,313298,NIG
GBAKO,313299,NIG
BIDA,313300,NIG
KATCHA,313301,NIG
AGAIE,313302,NIG
LAPAI,313303,NIG
PAIKORO,313304,NIG
GURARA,313305,NIG
SULEJA,313306,NIG
TAFA,313307,NIG
BWARI,314308,FCT
ABUJA MUNICIPAL AREA COUNCIL,314309,FCT
GWAGWALADA,314310,FCT
ABAJI,314311,FCT
KWALI,314312,FCT
KUJE,314313,FCT
KARU,315314,NAS
KEFFI,315315,NAS
KOKONA,315316,NAS
AKWANGA,315317,NAS
WAMBA,315318,NAS
NASSARAWA EGGON,315319,NAS
LAFIA,315320,NAS
AWE,315321,NAS
OBI,315322,NAS
KEANA,315323,NAS
DOMA,315324,NAS
NASARAWA,315325,NAS
TOTO,315326,NAS
BASSA,316327,PLA
JOS NORTH,316328,PLA
JOS EAST,316329,PLA
JOS SOUTH,316330,PLA
RIYOM,316331,PLA
BARKIN LADI,316332,PLA
MANGU,316333,PLA
BOKKOS,316334,PLA
QUA'AN PAN,316335,PLA
PANKSHIN,316336,PLA
KANKE,316337,PLA
KANAM,316338,PLA
WASE,316339,PLA
LANGTANG NORTH,316340,PLA
MIKANG,316341,PLA
SHENDAM,316342,PLA
LANTANG SOUTH,316343,PLA
AGATU,318360,BEN
APA,318361,BEN
