name,code
ACCESS PENSIONS LIMITED,1
AIICO PENSION MANAGERS LIMITED  ,2
APT PENSION FUND MANAGERS LIMITED,3
ARM PENSION MANAGERS LIMITED,4
AXA MANSARD PENSION LIMITED,5
CRUSADER STERLING PENSIONS LIMITED,6
FCMB PENSIONS LIMITED,7
FIDELITY PENSION MANAGERS LIMITED,8
FIRST ALLIANCE PENSION AND BENEFITS LIMITED,9
FIRST GUARANTEE PENSIONS LIMITED,10
GUARANTY TRUST PENSION MANAGERS LIMITED,11
IEI-ANCHOR PENSION MANAGERS LIMITED,12
INVESTMENT ONE PENSION MANAGERS LIMITED,13
LEADWAY PENSURE PFA LIMITED,14
LEGACY PENSION MANAGERS LIMITED,15
NIGERIAN UNIVERSITY PENSION MANAGEMENT COMPANY (NUPEMCO),16
NLPC PENSION FUND ADMINISTRATORS LIMITED,17
NORRENBERGER PENSIONS LIMITED,18
NPF PENSIONS FUND ADMINISTRATORS LIMITED,19
OAK PENSIONS LIMITED,20
PAL PENSIONS,21
PENSIONS ALLIANCE LIMITED,22
PREMIUM PENSION LIMITED,23
RADIX PENSION MANAGERS LIMITED,24
SIGMA PENSIONS LIMITED,25
STANBIC IBTC PENSION MANAGERS LIMITED,26
TANGERINE APT PENSIONS LIMITED,27
TRUSTFUND PENSIONS LIMITED,28
VERITAS GLANVILLS PENSIONS LIMITED,29
OTHERS,30
